CAS,MolecularWeight
79-09-4,74.0785
37064-20-3,144.2114
109-60-4,102.1317
71-23-8,60.0950
105-66-8,130.1849
626-77-7,158.2380
557-00-6,144.2114
4606-15-9,178.2277
106-36-5,116.1583
80-54-6,204.3080
943-27-1,176.2548
98-53-3,154.2493
18127-01-0,190.2814
104-87-0,120.1485
55066-56-3,192.2542
140-39-6,150.1745
589-18-4,122.1644
103-93-5,178.2277
59558-23-5,234.3340
101-94-0,226.2705
2882-20-4,140.206
127-17-3,88.0621
108-46-3,110.1106
6812-78-8,156.2652
141-11-7,198.3019
3387-41-5,136.2340
90-02-8,122.1213
11031-45-1,220.3505
515-03-7,308.4986
564-20-5,250.3764
2679-87-0,102.1748
100-42-5,104.1491
10521-96-7,162.1852
15356-74-8,180.2435
58985-02-7,156.2652
8006-39-1,154.2493
586-62-9,136.2340
8007-35-0,196.2860
2153-28-8,224.3392
2153-26-6,182.2594
7774-65-4,224.3392
80-27-3,210.3126
16409-43-1,154.2493
5988-91-0,156.2652
78-69-3,158.2811
20780-48-7,200.3178
18479-57-7,158.2811
36431-72-8,194.3132
89-83-8,150.2176
1334-78-7,120.1485
3913-81-3,154.2493
13419-69-7,114.1424
2497-18-9,142.1956
53398-83-7,170.2487
53398-86-0,198.3019
68698-59-9,184.2753
56922-74-8,184.2753
53398-80-4,156.2221
59324-17-3,160.277
31502-14-4,142.2386
18829-56-6,140.2227
2548-87-0,126.1962
5448-22-6,156.2652
7069-41-2,196.3291
53448-07-0,168.2759
69112-21-6,98.1430
3681-82-1,142.1956
65405-70-1,154.2493
1900-69-2,198.3019
4180-23-8,148.2017
140-10-3,148.1586
928-97-2,100.1589
5932-68-3,164.2011
1189-09-9,182.2594
40716-66-3,222.3663
89-80-5,154.2493
13380-94-4,150.2176
5413-60-5,192.2542
7370-92-5,212.3285
10486-19-8,198.3449
20662-84-4,111.1418
112-44-7,170.2918
2244-07-7,167.2911
112-37-8,186.2912
112-43-6,170.2918
112-42-5,172.3077
110-62-3,86.1323
109-52-4,102.1317
121-34-6,168.1467
121-33-5,152.1473
68527-74-2,210.2265
82654-98-6,210.2695
13184-86-6,182.2164
120-14-9,166.1739
473-67-6,152.2334
68129-81-7,220.3505
122-48-5,194.2271
546-80-5,152.2334
